Name,Ticker,Current Price,24h Change,7d Change,Market Cap,Time
Bitcoin,BTC,$20388.82,12.3%,-28.1%,$389373177881,2022-06-19 22:25
Ethereum,ETH,$1134.65,23.9%,-25.8%,$137881566012,2022-06-19 22:25
Tether,USDT,$0.999054,-0.2%,-0.1%,$68269586466,2022-06-19 22:25
USD Coin,USDC,$1.00,-0.1%,0.3%,$55991922092,2022-06-19 22:25
BNB,BNB,$214.02,12.4%,-20.7%,$34959593202,2022-06-19 22:25
Binance USD,BUSD,$0.995962,-1.2%,-0.6%,$17126213325,2022-06-19 22:25
Cardano,ADA,$0.480809,8.6%,-13.2%,$16285382080,2022-06-19 22:25
XRP,XRP,$0.326587,8.0%,-9.3%,$15792430221,2022-06-19 22:25
Solana,SOL,$34.60,20.2%,2.3%,$11859197803,2022-06-19 22:25
Polkadot,DOT,$7.50,8.8%,-6.3%,$8438386014,2022-06-19 22:25
